model,count
TOSHIBA MG07ACA14TA,695391
TOSHIBA MG08ACA16TA,607683
ST16000NM001G,495595
WDC WUH721816ALE6L4,388959
ST12000NM0008,354318
ST8000NM0055,260884
HGST HUH721212ALE604,242141
ST12000NM001G,238947
ST4000DM000,197529
ST14000NM001G,195469
HGST HMS5C4040BLE640,194635
HGST HUH721212ALN604,189608
ST8000DM002,175606
WDC WUH721414ALE6L4,156108
TOSHIBA MG08ACA16TE,107316
TOSHIBA MG08ACA16TEY,94211
WDC WUH721816ALE6L0,54919
HGST HUH721212ALE600,47428
WDC WUH722222ALE6L4,43264
HGST HMS5C4040ALE640,35869
